Production Operator: Casting,Production Operator: Casting II,Production Operator: Charging,Production Operator Charging II,Production Operator: Saw,Production Operator: Saw II,Material Handler Level 1 Unloading,Material Handler Level 2 Loading,Material Handler Tipper,Material Handler Melter,Material Handler Front Office
Time Management: Can Manage Own Time,"
Time Management
Can manage own and other's time","
Time Management
Can manage own and other's time","
Time Management
Can manage own and other's time",Time Management: Can Manage Own Time,Time Management: Can Manage Own Time,Time Management: Can Manage Own Time,Time Management: Can Manage Own Time,Time Management: Can Manage Own Time,Time Management: Can Manage Own Time,"
Time Management
Can manage own and other's time"
Research: Can locate basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information,Research: can locate and gather basic information
Problem Solving: Can solve routine problems,Problem Solving: Can solve non-routine problems,Problem Solving: Can solve non-routine problems,Problem Solving: Can solve non-routine problems,Problem Solving: Can solve non-routine problems,Problem Solving: Can solve non-routine problems,,,,,Problem Solving: Can solve non-routine problems
Diagnostic Information Gathering: Can gather basic information,Diagnostic Information Gathering: Can gather and organize basic information,Diagnostic Information Gathering: Can gather basic information,Diagnostic Information Gathering: Can gather basic information,Diagnostic Information Gathering: Can gather basic information,Diagnostic Information Gathering: Can gather basic information,,,Diagnostic Information Gathering: Can gather basic information,,Diagnostic Information Gathering: Can gather basic information
Continuous Improvement: Can identify basic issues,Continuous Improvement: Can identify and implement basic improvements,Continuous Improvement: Can identify and implement basic improvements,Continuous Improvement: Can identify and implement basic improvements,Continuous Improvement: Can identify basic issues,Continuous Improvement: Can identify basic issues,Continuous Improvement: Can identify and implement basic improvements,Continuous Improvement: Can identify and implement basic improvements,Continuous Improvement: Can identify and implement basic improvements,Continuous Improvement: Can identify and implement basic improvements,Continuous Improvement: Can identify and implement basic improvements
Reliability: Can be counted on to meet  commitments,Reliability: Can be counted on to meet  commitments,Reliability: Can be counted on to meet commitments under pressure,Reliability: Can be counted on to meet commitments under pressure,Reliability: Can be counted on to meet  commitments,Reliability: Can be counted on to meet  commitments,Reliability: Can be counted on to meet commitments under pressure,Reliability: Can be counted on to meet commitments under pressure,Reliability: Can be counted on to meet commitments under pressure,Reliability: Can be counted on to meet commitments under pressure,Reliability: Can be counted on to meet commitments under pressure
Critical thinking: Can identify simple problems. Demonstrates a willingness to learn and apply analytical skills,"Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information","Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information",Critical thinking: Can identify simple problems. Demonstrates a willingness to learn and apply analytical skills,"Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information","Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information","Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information","Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information","Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information","Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information","Critical Thinking: Can identify and analyze basic problems. Participates in problem-solving tasks, focusing on understanding and interpreting available information"
Results Oriented: Can complete basic tasks,Results Oriented: Can complete intermediate tasks,Results Oriented: Can complete basic tasks,Results Oriented: Can complete intermediate tasks,Results Oriented: Can complete basic tasks,Results Oriented: Can complete basic tasks,Results Oriented: Can complete basic tasks,Results Oriented: Can complete basic tasks,Results Oriented: Can complete basic tasks,Results Oriented: Can complete basic tasks,Results Oriented: Can complete basic tasks
Teamwork: Can effectively work in a team,Teamwork: Can lead a team,Teamwork: Can effectively work in a team,Teamwork: Can effectively work in a team,"Teamwork: Can effectively work in a team, independently","Teamwork: Can effectively work in a team, independently",Teamwork: Can effectively work in a team,Teamwork: Can effectively work in a team,Teamwork: Can effectively work in a team,Teamwork: Can effectively work in a team,Teamwork: Can effectively work in a team
Data Analysis: Can collect basic data,"Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data","Data Analysis: Can collect, organize, and interpret basic data"
